Batch,Tunge nr,Plassering,Kraft,Filnavn,Vekt [gr],Start time,End time,Tongue Temp (IR),Pipe temp sensor,Pipe temp IR,Frostskade,Avrivningsskade,Dårlig kvalitet,Kommentar,contact_time(s),total_force_app_time(s),num_force_applications,detach_force(g),plot_path
9,2,APEX,Rykk,12.03.25 19-00-12.csv,240,12.03.25 18-59-00,12.03.25 19-00-59,32.0,-14.0,-14.0,True,True,True,Trengte to rykk,10.718985,2.411071,1,1624.8,./main/output/plots/12.03.25 19-00-12.png
9,3,APEX,Rykk,12.03.25 18-51-09.csv,189,12.03.25 18-50-00,12.03.25 18-51-59,34.0,-8.0,-11.0,True,True,True,På muskel,4.100993,3.059009,1,572.08,./main/output/plots/12.03.25 18-51-09.png
9,3,BASIS,Rykk,12.03.25 19-02-08.csv,189,12.03.25 19-01-00,12.03.25 19-02-59,34.0,-13.0,-13.0,True,True,False,Bra rykk og fin skade,3.792007,3.104,1,1652.94,./main/output/plots/12.03.25 19-02-08.png
9,4,BASIS,Rykk,12.03.25 18-52-44.csv,189,12.03.25 18-51-00,12.03.25 18-52-59,33.0,-10.0,-6.0,True,True,False,Satt godt fast mtp kontakttid,2.8880000000000003,1.4400000000000002,1,1724.15,./main/output/plots/12.03.25 18-52-44.png
9,4,APEX,Motor,12.03.25 19-03-35.csv,189,12.03.25 19-02-00,12.03.25 19-03-59,32.0,-8.0,-11.0,True,True,False,"middels apex, liten avrivning",9.825205,6.435027,1,472.42,./main/output/plots/12.03.25 19-03-35.png
9,5,APEX,Motor,12.03.25 18-55-29.csv,247,12.03.25 18-54-00,12.03.25 18-55-59,34.0,,-25.0,True,True,False,"ok apex, liten avrivning, rørte røret ved drag pga god adhesjon",7.718214,3.368015,1,1070.89,./main/output/plots/12.03.25 18-55-29.png
9,5,BASIS,Motor,12.03.25 19-05-01.csv,247,12.03.25 19-04-00,12.03.25 19-05-59,34.0,,-10.0,True,True,False,Løsnet greit,8.419213000000001,3.008,1,908.03,./main/output/plots/12.03.25 19-05-01.png
9,6,APEX,Rykk,12.03.25 18-57-04.csv,211,12.03.25 18-56-00,12.03.25 18-57-59,32.0,-9.0,-23.0,True,False,False,Slapp lett,2.264007,1.092014,1,327.83,./main/output/plots/12.03.25 18-57-04.png
9,6,BASIS,Motor,12.03.25 19-06-37.csv,211,12.03.25 19-05-00,12.03.25 19-06-59,31.0,-4.0,-7.0,True,True,False,,6.374207,2.059,1,985.67,./main/output/plots/12.03.25 19-06-37.png
10,1,APEX,Motor,25.03.25 12-48-13.csv,193,25.03.25 12-47-00,25.03.25 12-48-59,35.0,-8.0,-28.0,True,False,False,Overgang løs hinne,5.332206,2.349909,1,713.1,./main/output/plots/25.03.25 12-48-13.png
10,1,BASIS,Rykk,25.03.25 13-02-10.csv,193,25.03.25 13-02-00,25.03.25 13-03-59,36.0,-25.0,-19.0,True,True,False,Liten avrivning,3.312015,1.787804,1,491.85,./main/output/plots/25.03.25 13-02-10.png
10,2,BASIS,Motor,25.03.25 12-50-21.csv,204,25.03.25 12-49-00,25.03.25 12-50-59,37.0,-25.0,-16.0,True,True,False,,8.686198,6.052,1,394.43,./main/output/plots/25.03.25 12-50-21.png
10,2,APEX,Motor,25.03.25 13-04-12.csv,204,25.03.25 13-03-00,25.03.25 13-04-59,35.0,-26.0,-12.0,True,False,False,,6.723212,3.904,1,383.71,./main/output/plots/25.03.25 13-04-12.png
10,3,APEX,Rykk,25.03.25 12-52-18.csv,174,25.03.25 12-51-00,25.03.25 12-52-59,37.0,-26.0,-17.0,True,True,True,løs hinne som ble igjen,3.116015,1.804,1,951.17,./main/output/plots/25.03.25 12-52-18.png
10,3,BASIS,Motor,25.03.25 13-07-53.csv,174,25.03.25 13-07-00,25.03.25 13-08-59,36.0,-10.0,-8.0,True,False,False,,8.980214,6.233,1,551.44,./main/output/plots/25.03.25 13-07-53.png
10,4,BASIS,Motor,25.03.25 12-54-20.csv,173,25.03.25 12-53-00,25.03.25 12-54-59,35.0,-21.0,-7.0,True,False,False,,9.280213,6.7090000000000005,1,422.2,./main/output/plots/25.03.25 12-54-20.png
10,4,APEX,Motor,25.03.25 13-09-37.csv,173,25.03.25 13-08-00,25.03.25 13-09-59,37.0,-14.0,-7.0,True,True,True,"Hinne løsnet, står ""før"" på etter-bildet",5.950212,3.208,1,385.6,./main/output/plots/25.03.25 13-09-37.png
10,5,BASIS,Rykk,25.03.25 12-58-34.csv,178,25.03.25 12-57-00,25.03.25 12-58-59,31.0,-11.0,-31.0,True,False,False,,7.979999999999999,5.264007,2,120.86,./main/output/plots/25.03.25 12-58-34.png
10,5,APEX,Rykk,25.03.25 13-11-24.csv,178,25.03.25 13-10-00,25.03.25 13-12-59,35.0,-17.0,-6.0,True,True,False,Fine skader. På formalin,7.062985,4.963,1,1940.82,./main/output/plots/25.03.25 13-11-24.png
10,6,APEX,Rykk,25.03.25 13-00-35.csv,186,25.03.25 13-00-00,25.03.25 13-01-59,35.0,-21.0,-23.0,True,False,True,,6.733015,3.803,1,607.81,./main/output/plots/25.03.25 13-00-35.png
10,6,BASIS,Rykk,25.03.25 13-15-27.csv,186,25.03.25 13-15-00,25.03.25 13-16-59,33.0,-10.0,1.0,False,False,False,Satt ikke fast i røret - validerer IR kamera,4.976000000000001,2.8040070000000004,1,79.34,./main/output/plots/25.03.25 13-15-27.png
11,1,APEX,Rykk,25.03.25 13-31-46.csv,230,25.03.25 13-31-00,25.03.25 13-32-59,35.0,-22.0,-5.0,True,False,True,blodig overflate på tunge,8.059,4.602998,1,560.32,./main/output/plots/25.03.25 13-31-46.png
11,1,BASIS,Rykk,25.03.25 13-44-38.csv,230,25.03.25 13-43-00,25.03.25 13-44-59,37.0,-5.0,-16.0,True,False,False,,4.542999999999999,2.851,1,701.41,./main/output/plots/25.03.25 13-44-38.png
11,2,APEX,Rykk,25.03.25 13-33-28.csv,188,25.03.25 13-33-00,25.03.25 13-33-59,37.0,-15.0,-15.0,True,False,True,"Tunge ser grå ut, men ingen vannlekkasje",4.723993,3.791993,1,199.52,./main/output/plots/25.03.25 13-33-28.png
11,2,BASIS,Motor,25.03.25 13-46-22.csv,188,25.03.25 13-45-00,25.03.25 13-46-59,37.0,-8.0,-12.0,True,True,False,Liten avrivning,10.975213,4.964008,1,494.62,./main/output/plots/25.03.25 13-46-22.png
11,3,BASIS,Rykk,25.03.25 13-35-45.csv,187,25.03.25 13-35-00,25.03.25 13-35-59,37.0,-20.0,-8.0,True,True,False,"Nytt rør, IR viser varmere temp enn forrige rør mens sensor synker. Devaliderer ir?",2.766993,1.878993,1,2031.12,./main/output/plots/25.03.25 13-35-45.png
11,3,APEX,Motor,25.03.25 13-48-18.csv,187,25.03.25 13-47-00,25.03.25 13-48-59,35.0,-10.0,-10.0,True,False,True,"Ingen hinne, rett på muskel. Bra bilde av frostskade",11.132205,5.783985,1,498.45,./main/output/plots/25.03.25 13-48-18.png
11,4,BASIS,Rykk,25.03.25 13-37-28.csv,194,25.03.25 13-36-00,25.03.25 13-37-59,36.0,-22.0,-10.0,True,True,False,Trengte to rykk,3.264,2.1980000000000004,1,1296.66,./main/output/plots/25.03.25 13-37-28.png
11,4,APEX,Motor,25.03.25 13-49-57.csv,194,25.03.25 13-49-00,25.03.25 13-50-59,37.0,-10.0,-5.0,True,True,True,løs hinne som løsnet,6.508212,2.528015,1,315.09,./main/output/plots/25.03.25 13-49-57.png
11,5,BASIS,Motor,25.03.25 13-39-10.csv,182,25.03.25 13-38-00,25.03.25 13-39-59,37.0,-20.0,-9.0,True,True,False,"løftet røret, fin skade på formalin",8.123258,4.068,1,1718.72,./main/output/plots/25.03.25 13-39-10.png
11,5,APEX,Motor,25.03.25 13-53-43.csv,182,25.03.25 13-53-00,25.03.25 13-53-59,37.0,-2.0,-2.0,False,True,True,"løs hinne som løsnet, på formalin",4.751213000000001,1.624,1,317.28,./main/output/plots/25.03.25 13-53-43.png
11,6,APEX,Rykk,25.03.25 13-41-14.csv,220,25.03.25 13-39-00,25.03.25 13-41-59,37.0,-15.0,-1.0,True,True,True,løs hinne som løsnet,6.1309890000000005,3.967000000000001,1,914.48,./main/output/plots/25.03.25 13-41-14.png
11,6,BASIS,Motor,25.03.25 13-56-30.csv,220,25.03.25 13-56-00,25.03.25 13-56-59,36.0,-5.0,1.0,False,False,False,ingen adhesjon (validerer IR sensor temp),13.515,2.172,1,61.76,./main/output/plots/25.03.25 13-56-30.png
12,1,BASIS,Motor,25.03.25 14-26-04.csv,163,25.03.25 14-24-00,25.03.25 14-26-59,34.0,-19.0,-21.0,True,False,False,,8.619212999999998,5.100015,1,277.71,./main/output/plots/25.03.25 14-26-04.png
12,1,APEX,Motor,25.03.25 14-43-40.csv,163,25.03.25 14-42-00,25.03.25 14-43-59,36.0,-18.0,-7.0,True,True,False,Avrivning av delvis løs hinne,6.233264,1.876,1,528.58,./main/output/plots/25.03.25 14-43-40.png
12,2,BASIS,Motor,25.03.25 14-29-24.csv,180,25.03.25 14-28-00,25.03.25 14-29-59,34.0,-25.0,-13.0,True,False,False,,8.692212999999999,4.772002,1,270.05,./main/output/plots/25.03.25 14-29-24.png
12,2,APEX,Rykk,25.03.25 14-47-55.csv,180,25.03.25 14-47-00,25.03.25 14-48-59,34.0,-10.0,-10.0,True,False,False,Trengte to rykk,5.82,4.048,1,2042.97,./main/output/plots/25.03.25 14-47-55.png
