time,temperature
25.03.25 12-46-36,-35.530
25.03.25 12-46-36,-35.124
25.03.25 12-46-37,-35.274
25.03.25 12-46-37,-35.421
25.03.25 12-46-38,-35.351
25.03.25 12-46-38,-35.276
25.03.25 12-46-39,-35.353
25.03.25 12-46-39,-35.028
25.03.25 12-46-40,-35.120
25.03.25 12-46-40,-35.197
25.03.25 12-46-41,-34.940
25.03.25 12-46-41,-34.833
25.03.25 12-46-42,-34.719
25.03.25 12-46-42,-34.519
25.03.25 12-46-43,-34.606
25.03.25 12-46-43,-34.708
25.03.25 12-46-44,-34.172
25.03.25 12-46-44,-34.494
25.03.25 12-46-45,-34.331
25.03.25 12-46-45,-34.186
25.03.25 12-46-46,-34.200
25.03.25 12-46-46,-34.621
25.03.25 12-46-47,-34.092
25.03.25 12-46-47,-34.135
25.03.25 12-46-48,-34.313
25.03.25 12-46-48,-33.905
25.03.25 12-46-49,-33.953
25.03.25 12-46-49,-33.998
25.03.25 12-46-50,-33.895
25.03.25 12-46-50,-34.094
25.03.25 12-46-51,-33.626
25.03.25 12-46-51,-33.796
25.03.25 12-46-52,-33.703
25.03.25 12-46-52,-33.784
25.03.25 12-46-53,-33.543
25.03.25 12-46-53,-33.622
25.03.25 12-46-54,-33.409
25.03.25 12-46-55,-33.389
25.03.25 12-46-55,-33.310
25.03.25 12-46-56,-33.284
25.03.25 12-46-56,-33.432
25.03.25 12-46-57,-33.312
25.03.25 12-46-57,-33.214
25.03.25 12-46-58,-33.070
25.03.25 12-46-58,-33.194
25.03.25 12-46-59,-33.129
25.03.25 12-46-59,-33.175
25.03.25 12-47-00,-33.049
25.03.25 12-47-00,-32.603
25.03.25 12-47-01,-32.902
25.03.25 12-47-01,-32.812
25.03.25 12-47-02,-32.780
25.03.25 12-47-02,-32.663
25.03.25 12-47-03,-32.578
25.03.25 12-47-03,-32.552
25.03.25 12-47-04,-32.823
25.03.25 12-47-04,-32.694
25.03.25 12-47-05,-32.434
25.03.25 12-47-05,-32.227
25.03.25 12-47-06,-32.745
25.03.25 12-47-06,-32.618
25.03.25 12-47-07,-32.518
25.03.25 12-47-07,-32.249
25.03.25 12-47-08,-32.282
25.03.25 12-47-08,-32.475
25.03.25 12-47-09,-32.440
25.03.25 12-47-09,-31.971
25.03.25 12-47-10,-32.228
25.03.25 12-47-10,-31.426
25.03.25 12-47-11,-30.916
25.03.25 12-47-11,-31.566
25.03.25 12-47-12,-31.565
25.03.25 12-47-12,-31.313
25.03.25 12-47-13,-31.141
25.03.25 12-47-13,-30.906
25.03.25 12-47-14,-31.604
25.03.25 12-47-14,-31.461
25.03.25 12-47-15,-31.900
25.03.25 12-47-15,-31.691
25.03.25 12-47-16,-32.121
25.03.25 12-47-16,-31.889
25.03.25 12-47-17,-31.788
25.03.25 12-47-18,-31.689
25.03.25 12-47-18,-31.524
25.03.25 12-47-19,-31.639
25.03.25 12-47-19,-31.334
25.03.25 12-47-20,-31.615
25.03.25 12-47-20,-31.511
25.03.25 12-47-21,-31.412
25.03.25 12-47-21,-31.480
25.03.25 12-47-22,-31.524
25.03.25 12-47-22,-31.214
25.03.25 12-47-23,-31.369
25.03.25 12-47-24,-30.674
25.03.25 12-47-24,-19.001
25.03.25 12-47-25,20.507
25.03.25 12-47-25,33.000
25.03.25 12-47-26,33.536
25.03.25 12-47-26,34.243
25.03.25 12-47-27,34.000
25.03.25 12-47-27,34.269
25.03.25 12-47-28,34.158
25.03.25 12-47-28,34.154
25.03.25 12-47-29,34.139
25.03.25 12-47-29,34.236
25.03.25 12-47-30,34.147
25.03.25 12-47-30,34.237
25.03.25 12-47-31,10.535
25.03.25 12-47-31,-30.380
25.03.25 12-47-32,-30.147
25.03.25 12-47-32,-30.381
25.03.25 12-47-33,-30.281
25.03.25 12-47-33,-30.567
25.03.25 12-47-34,-30.774
25.03.25 12-47-34,-30.562
25.03.25 12-47-35,-29.983
25.03.25 12-47-35,-30.517
25.03.25 12-47-36,-30.384
25.03.25 12-47-36,-30.207
25.03.25 12-47-37,-30.380
25.03.25 12-47-37,-30.293
25.03.25 12-47-38,-30.526
25.03.25 12-47-38,-30.037
25.03.25 12-47-39,-29.927
25.03.25 12-47-39,-30.246
25.03.25 12-47-40,-30.063
25.03.25 12-47-40,-30.209
25.03.25 12-47-41,-29.808
25.03.25 12-47-41,-29.837
25.03.25 12-47-42,-29.652
25.03.25 12-47-42,-29.990
25.03.25 12-47-43,-29.774
25.03.25 12-47-43,-29.680
25.03.25 12-47-44,-29.751
25.03.25 12-47-44,-29.529
25.03.25 12-47-45,-29.813
25.03.25 12-47-45,-29.749
25.03.25 12-47-46,-29.861
25.03.25 12-47-46,-29.625
25.03.25 12-47-47,-29.676
25.03.25 12-47-47,-29.395
25.03.25 12-47-48,-29.468
25.03.25 12-47-48,-29.386
25.03.25 12-47-49,-29.577
25.03.25 12-47-49,-29.560
25.03.25 12-47-50,-29.292
25.03.25 12-47-50,-29.546
25.03.25 12-47-51,-29.364
25.03.25 12-47-51,-29.284
25.03.25 12-47-52,-29.391
25.03.25 12-47-52,-29.296
25.03.25 12-47-53,-29.102
25.03.25 12-47-54,-29.452
25.03.25 12-47-54,-29.621
25.03.25 12-47-55,-29.556
25.03.25 12-47-55,-28.971
25.03.25 12-47-56,-28.809
25.03.25 12-47-56,-29.213
25.03.25 12-47-57,-29.247
25.03.25 12-47-57,-28.906
25.03.25 12-47-58,-29.016
25.03.25 12-47-58,-29.190
25.03.25 12-47-59,-28.611
25.03.25 12-47-59,-28.620
25.03.25 12-48-00,-28.618
25.03.25 12-48-00,-28.983
25.03.25 12-48-01,-28.652
25.03.25 12-48-01,-28.317
25.03.25 12-48-02,-28.405
25.03.25 12-48-02,-28.450
25.03.25 12-48-03,-28.645
25.03.25 12-48-03,-28.244
25.03.25 12-48-04,-27.763
25.03.25 12-48-04,-27.964
25.03.25 12-48-05,-27.953
25.03.25 12-48-05,-27.865
25.03.25 12-48-06,-27.812
25.03.25 12-48-06,-27.960
25.03.25 12-48-07,-27.733
25.03.25 12-48-07,-27.913
25.03.25 12-48-08,-27.891
25.03.25 12-48-08,-27.470
25.03.25 12-48-09,-27.667
25.03.25 12-48-09,-27.787
25.03.25 12-48-10,-27.194
25.03.25 12-48-10,-27.106
25.03.25 12-48-11,-26.954
25.03.25 12-48-11,-26.858
25.03.25 12-48-12,-26.891
25.03.25 12-48-12,-26.450
25.03.25 12-48-13,-26.409
25.03.25 12-48-13,-26.620
25.03.25 12-48-14,-26.332
25.03.25 12-48-14,-26.359
25.03.25 12-48-15,-25.648
25.03.25 12-48-15,-25.493
25.03.25 12-48-16,-25.413
25.03.25 12-48-16,-25.806
25.03.25 12-48-17,-25.436
25.03.25 12-48-17,-26.341
25.03.25 12-48-18,-26.315
25.03.25 12-48-18,-26.364
25.03.25 12-48-19,-26.160
25.03.25 12-48-19,-26.281
25.03.25 12-48-20,-26.397
25.03.25 12-48-20,-26.536
25.03.25 12-48-21,-26.632
25.03.25 12-48-21,-26.345
25.03.25 12-48-22,-26.778
25.03.25 12-48-23,-26.514
25.03.25 12-48-23,-26.535
25.03.25 12-48-24,-26.740
25.03.25 12-48-24,-26.892
25.03.25 12-48-25,-26.667
25.03.25 12-48-25,-26.632
25.03.25 12-48-26,-26.957
25.03.25 12-48-26,-26.975
25.03.25 12-48-27,-26.946
25.03.25 12-48-27,-26.880
25.03.25 12-48-28,-26.853
25.03.25 12-48-28,-27.062
25.03.25 12-48-29,-26.840
25.03.25 12-48-29,-26.645
25.03.25 12-48-30,-26.704
25.03.25 12-48-30,-26.375
25.03.25 12-48-31,-26.585
25.03.25 12-48-31,-26.429
25.03.25 12-48-32,-26.103
25.03.25 12-48-32,-25.965
25.03.25 12-48-33,-26.294
25.03.25 12-48-33,-25.793
25.03.25 12-48-34,-26.166
25.03.25 12-48-34,-26.386
25.03.25 12-48-35,-26.029
25.03.25 12-48-35,-25.803
25.03.25 12-48-36,-26.090
25.03.25 12-48-36,-26.176
25.03.25 12-48-37,-26.269
25.03.25 12-48-37,-26.221
25.03.25 12-48-38,-25.986
25.03.25 12-48-38,-26.264
25.03.25 12-48-39,-26.015
25.03.25 12-48-39,-25.834
25.03.25 12-48-40,-25.737
25.03.25 12-48-40,-26.105
25.03.25 12-48-41,-25.663
25.03.25 12-48-41,-25.745
25.03.25 12-48-42,-25.560
25.03.25 12-48-42,-26.051
25.03.25 12-48-43,-25.778
25.03.25 12-48-43,-25.599
25.03.25 12-48-44,-25.978
25.03.25 12-48-44,-25.328
25.03.25 12-48-45,-25.575
25.03.25 12-48-45,-25.579
25.03.25 12-48-46,-25.253
25.03.25 12-48-46,-25.564
25.03.25 12-48-47,-25.499
25.03.25 12-48-47,-25.402
25.03.25 12-48-48,-25.240
25.03.25 12-48-48,-25.331
25.03.25 12-48-49,-25.108
25.03.25 12-48-49,-25.665
25.03.25 12-48-50,-25.482
25.03.25 12-48-50,-25.185
25.03.25 12-48-51,-25.222
25.03.25 12-48-51,-25.315
25.03.25 12-48-52,-25.201
25.03.25 12-48-53,-25.082
25.03.25 12-48-53,-24.806
25.03.25 12-48-54,-24.760
25.03.25 12-48-54,-24.742
25.03.25 12-48-55,-25.042
25.03.25 12-48-55,-24.826
25.03.25 12-48-56,-24.849
25.03.25 12-48-56,-24.891
25.03.25 12-48-57,-24.577
25.03.25 12-48-57,-24.734
25.03.25 12-48-58,-24.506
25.03.25 12-48-58,-24.746
25.03.25 12-48-59,-24.844
25.03.25 12-48-59,-24.581
25.03.25 12-49-00,-24.442
25.03.25 12-49-00,-24.405
25.03.25 12-49-01,-24.684
25.03.25 12-49-01,-24.487
25.03.25 12-49-02,-24.659
25.03.25 12-49-02,-24.074
25.03.25 12-49-03,-24.243
25.03.25 12-49-03,-23.496
25.03.25 12-49-04,-20.522
25.03.25 12-49-04,-20.135
25.03.25 12-49-05,-19.838
25.03.25 12-49-05,-20.505
25.03.25 12-49-06,-21.085
25.03.25 12-49-06,-21.751
25.03.25 12-49-07,-21.122
25.03.25 12-49-07,-21.236
25.03.25 12-49-08,-21.247
25.03.25 12-49-08,-21.296
25.03.25 12-49-09,-20.842
25.03.25 12-49-09,-20.545
25.03.25 12-49-10,-21.987
25.03.25 12-49-10,-22.954
25.03.25 12-49-11,-23.058
25.03.25 12-49-11,-23.109
25.03.25 12-49-12,-22.982
25.03.25 12-49-12,-22.342
25.03.25 12-49-13,-21.941
25.03.25 12-49-13,-21.728
25.03.25 12-49-14,-21.870
25.03.25 12-49-14,-21.403
25.03.25 12-49-15,-22.526
25.03.25 12-49-15,-24.987
25.03.25 12-49-16,-24.985
25.03.25 12-49-16,-24.303
25.03.25 12-49-17,-24.406
25.03.25 12-49-17,-24.170
25.03.25 12-49-18,-23.993
25.03.25 12-49-18,-23.912
25.03.25 12-49-19,-23.936
25.03.25 12-49-19,-23.437
25.03.25 12-49-20,-23.486
