gas_resistance,humidity,pipeTemp,pressure,temperature,time,top_load
62181,23.79,4.5,1000.11,23.79,25.03.25 12-46-49,0.14
63194,23.9,3.62,1000.11,23.79,25.03.25 12-46-52,0.16
63241,23.96,2.69,1000.11,23.79,25.03.25 12-46-55,0.15
62637,24.0,1.75,1000.11,23.79,25.03.25 12-46-58,0.17
61955,24.13,0.88,1000.1,23.79,25.03.25 12-47-01,0.15
61420,24.59,0.0,1000.1,23.79,25.03.25 12-47-04,0.17
61553,24.93,-0.81,1000.1,23.79,25.03.25 12-47-07,0.18
61865,24.96,-1.62,1000.1,23.8,25.03.25 12-47-10,0.16
61820,24.85,-2.44,1000.09,23.8,25.03.25 12-47-13,0.17
61865,24.7,-3.25,1000.09,23.8,25.03.25 12-47-16,193.04
62226,24.5,-4.0,1000.1,23.8,25.03.25 12-47-19,196.93
62591,24.32,-4.69,1000.1,23.8,25.03.25 12-47-22,196.98
62729,24.2,-5.44,1000.1,23.8,25.03.25 12-47-25,196.96
62683,24.1,-6.19,1000.1,23.8,25.03.25 12-47-28,0.23
62500,24.04,-6.87,1000.1,23.8,25.03.25 12-47-31,0.22
63147,24.03,-7.5,1000.09,23.8,25.03.25 12-47-34,0.19
63241,24.05,-8.19,1000.09,23.8,25.03.25 12-47-37,0.17
63429,24.1,-8.81,1000.09,23.81,25.03.25 12-47-40,0.13
63570,24.13,-9.44,1000.09,23.8,25.03.25 12-47-42,0.11
63429,24.16,-10.0,1000.09,23.81,25.03.25 12-47-46,0.12
63288,24.16,-10.63,1000.09,23.81,25.03.25 12-47-49,0.11
63476,24.11,-11.25,1000.1,23.81,25.03.25 12-47-52,0.09
63100,24.03,-11.81,1000.09,23.81,25.03.25 12-47-54,0.05
63054,23.99,-12.31,1000.1,23.81,25.03.25 12-47-57,0.06
63194,23.93,-12.81,1000.1,23.81,25.03.25 12-48-00,0.07
63288,23.9,-13.38,1000.09,23.81,25.03.25 12-48-03,-5.97
63147,23.92,-13.88,1000.1,23.81,25.03.25 12-48-06,194.88
63194,23.95,-14.38,1000.1,23.82,25.03.25 12-48-09,164.32
63713,23.99,-14.87,1000.09,23.82,25.03.25 12-48-12,153.79
63808,23.98,-15.31,1000.1,23.82,25.03.25 12-48-15,184.11
63618,24.17,-15.75,1000.1,23.82,25.03.25 12-48-18,190.07
63904,24.24,-16.19,1000.1,23.82,25.03.25 12-48-21,181.72
64096,24.15,-16.62,1000.11,23.82,25.03.25 12-48-24,209.28
64777,24.05,-17.06,1000.11,23.82,25.03.25 12-48-27,59.5
65123,23.98,-17.5,1000.11,23.82,25.03.25 12-48-30,0.12
65173,23.91,-17.87,1000.11,23.82,25.03.25 12-48-33,0.12
64826,23.86,-18.25,1000.1,23.82,25.03.25 12-48-35,0.12
64728,23.83,-18.69,1000.09,23.82,25.03.25 12-48-38,0.11
64630,23.92,-19.06,1000.09,23.82,25.03.25 12-48-42,0.13
64875,24.06,-19.44,1000.09,23.82,25.03.25 12-48-45,0.14
64532,24.12,-19.75,1000.1,23.82,25.03.25 12-48-48,0.15
64777,24.14,-20.12,1000.1,23.82,25.03.25 12-48-51,0.16
64826,24.07,-20.44,1000.1,23.82,25.03.25 12-48-54,0.16
64728,23.98,-20.75,1000.1,23.82,25.03.25 12-48-56,0.16
64000,23.96,-21.06,1000.1,23.82,25.03.25 12-49-00,0.18
64581,24.08,-21.37,1000.09,23.82,25.03.25 12-49-03,0.16
64386,24.15,-21.69,1000.09,23.82,25.03.25 12-49-06,0.14
63665,24.16,-21.94,1000.1,23.82,25.03.25 12-49-09,0.17
64144,24.31,-22.19,1000.1,23.82,25.03.25 12-49-12,0.18
65422,24.19,-22.44,1000.1,23.82,25.03.25 12-49-14,0.18
65826,24.04,-22.69,1000.1,23.82,25.03.25 12-49-17,0.17
66338,23.92,-22.94,1000.09,23.82,25.03.25 12-49-20,0.14
66286,23.84,-23.19,1000.1,23.81,25.03.25 12-49-23,0.17
66390,23.84,-23.38,1000.1,23.81,25.03.25 12-49-26,0.16
65928,23.83,-23.62,1000.1,23.81,25.03.25 12-49-29,0.15
66235,23.79,-23.81,1000.09,23.81,25.03.25 12-49-32,0.16
65826,23.75,-24.0,1000.1,23.81,25.03.25 12-49-35,0.19
65523,23.78,-24.19,1000.11,23.81,25.03.25 12-49-38,0.16
65826,23.94,-24.31,1000.12,23.81,25.03.25 12-49-41,-2.64
65573,24.06,-24.5,1000.12,23.81,25.03.25 12-49-44,203.92
66030,24.11,-24.63,1000.13,23.82,25.03.25 12-49-47,203.97
66132,24.14,-24.75,1000.13,23.82,25.03.25 12-49-50,203.97
66338,24.11,-24.87,1000.14,23.82,25.03.25 12-49-53,203.95
66286,24.1,-25.0,1000.13,23.82,25.03.25 12-49-58,0.25
65024,24.09,-25.25,1000.13,23.81,25.03.25 12-50-01,0.16
65024,24.12,-25.31,1000.13,23.81,25.03.25 12-50-04,0.16
65222,24.13,-25.44,1000.14,23.81,25.03.25 12-50-07,0.14
65173,24.1,-25.5,1000.14,23.81,25.03.25 12-50-10,0.14
65422,24.03,-25.62,1000.14,23.81,25.03.25 12-50-13,135.2
65573,23.99,-25.69,1000.14,23.81,25.03.25 12-50-16,69.99
65674,23.94,-25.75,1000.15,23.81,25.03.25 12-50-19,96.14
65372,23.93,-25.81,1000.14,23.81,25.03.25 12-50-22,40.58
