gas_resistance,humidity,pipeTemp,pressure,temperature,time,top_load
102914,12.98,20.06,994.4,23.57,11.03.25 16-34-39,0.04
102359,12.99,20.06,994.4,23.56,11.03.25 16-34-42,0.02
102297,13.0,20.06,994.4,23.57,11.03.25 16-34-45,0.03
102976,12.99,20.06,994.39,23.57,11.03.25 16-34-48,0.03
102976,13.0,20.12,994.38,23.57,11.03.25 16-34-51,0.05
102420,13.02,20.12,994.37,23.57,11.03.25 16-34-54,0.04
101627,13.03,20.12,994.38,23.57,11.03.25 16-34-57,0.05
100490,13.05,20.12,994.37,23.57,11.03.25 16-35-01,0.03
98234,13.08,20.12,994.37,23.57,11.03.25 16-35-04,0.03
99785,13.05,20.12,994.37,23.57,11.03.25 16-35-07,0.04
101386,13.06,20.19,994.39,23.57,11.03.25 16-35-11,0.02
102053,13.05,20.19,994.38,23.57,11.03.25 16-35-14,0.06
102359,13.05,20.12,994.39,23.58,11.03.25 16-35-17,0.03
100549,13.04,20.19,994.39,23.58,11.03.25 16-35-19,0.04
98518,13.05,20.19,994.39,23.59,11.03.25 16-35-22,0.02
97393,13.05,20.19,994.4,23.59,11.03.25 16-35-26,0.02
97505,13.05,20.19,994.4,23.59,11.03.25 16-35-28,0.03
97672,13.05,20.19,994.39,23.59,11.03.25 16-35-31,-0.01
97616,13.05,20.19,994.39,23.6,11.03.25 16-35-34,0.01
96731,13.06,20.25,994.39,23.6,11.03.25 16-35-37,0.03
95916,13.04,20.25,994.39,23.6,11.03.25 16-35-40,0.0
95540,13.05,20.25,994.4,23.61,11.03.25 16-35-43,0.04
91135,13.06,20.25,994.4,23.61,11.03.25 16-35-46,0.02
90363,13.07,20.25,994.39,23.61,11.03.25 16-35-50,0.02
88858,13.09,20.25,994.4,23.61,11.03.25 16-35-54,0.0
85475,13.1,20.31,994.4,23.6,11.03.25 16-35-57,0.02
86428,13.12,20.31,994.4,23.61,11.03.25 16-36-01,0.01
88489,13.12,20.31,994.39,23.61,11.03.25 16-36-04,0.02
89982,13.16,20.31,994.39,23.61,11.03.25 16-36-07,0.04
91233,13.2,20.31,994.39,23.61,11.03.25 16-36-10,0.03
91135,13.23,20.31,994.39,23.62,11.03.25 16-36-13,0.01
89698,13.25,20.31,994.39,23.62,11.03.25 16-36-16,0.02
90747,13.25,20.31,994.4,23.62,11.03.25 16-36-19,-0.01
94639,13.29,20.37,994.4,23.63,11.03.25 16-36-22,0.01
97449,13.32,20.31,994.39,23.63,11.03.25 16-36-25,0.01
97616,13.32,20.37,994.38,23.63,11.03.25 16-36-28,0.03
97840,13.29,20.37,994.38,23.64,11.03.25 16-36-31,0.04
98348,13.25,20.37,994.38,23.64,11.03.25 16-36-33,0.05
99263,13.2,20.37,994.38,23.64,11.03.25 16-36-36,0.04
98975,13.16,20.37,994.37,23.65,11.03.25 16-36-39,0.0
98918,13.14,20.37,994.38,23.65,11.03.25 16-36-42,0.02
97784,13.12,20.37,994.38,23.65,11.03.25 16-36-45,0.0
98234,13.11,20.37,994.38,23.65,11.03.25 16-36-48,-0.03
99147,13.08,20.37,994.38,23.65,11.03.25 16-36-51,0.0
98975,13.07,20.37,994.38,23.66,11.03.25 16-36-54,0.03
99378,13.06,20.44,994.38,23.66,11.03.25 16-36-57,0.02
100313,13.05,20.44,994.38,23.66,11.03.25 16-37-00,0.04
101506,13.05,20.44,994.38,23.66,11.03.25 16-37-03,0.01
104107,13.04,20.44,994.38,23.66,11.03.25 16-37-05,-0.0
105328,13.02,20.44,994.38,23.66,11.03.25 16-37-08,0.02
105588,13.01,20.44,994.38,23.66,11.03.25 16-37-11,0.0
106711,13.0,20.44,994.37,23.67,11.03.25 16-37-14,0.02
107721,12.99,20.44,994.37,23.67,11.03.25 16-37-17,0.04
105916,13.0,20.44,994.37,23.67,11.03.25 16-37-20,0.02
104682,13.01,20.44,994.37,23.67,11.03.25 16-37-23,0.04
105068,13.01,20.44,994.37,23.67,11.03.25 16-37-26,0.04
103980,13.01,20.44,994.37,23.67,11.03.25 16-37-29,0.05
103917,13.03,20.5,994.37,23.67,11.03.25 16-37-31,0.0
102728,13.03,20.44,994.36,23.67,11.03.25 16-37-34,0.01
103664,13.04,20.5,994.37,23.67,11.03.25 16-37-37,0.03
106312,13.13,20.5,994.37,23.67,11.03.25 16-37-40,0.04
108751,13.16,20.5,994.37,23.67,11.03.25 16-37-43,0.05
110654,13.19,20.5,994.37,23.67,11.03.25 16-37-46,0.04
111014,13.2,20.5,994.36,23.67,11.03.25 16-37-49,0.02
111014,13.2,20.5,994.37,23.67,11.03.25 16-37-52,0.05
