gas_resistance,humidity,pipeTemp,pressure,temperature,time,top_load
48311,14.3,23.12,995.94,23.29,12.03.25 13-12-32,-0.01
48586,14.28,23.12,995.94,23.29,12.03.25 13-12-35,-0.02
48808,14.27,23.12,995.94,23.29,12.03.25 13-12-38,0.01
48365,14.28,23.12,995.93,23.29,12.03.25 13-12-41,-0.02
48558,14.3,23.12,995.93,23.3,12.03.25 13-12-44,-0.02
48641,14.32,23.12,995.94,23.3,12.03.25 13-12-47,-0.01
48948,14.33,23.12,995.94,23.3,12.03.25 13-12-49,-0.01
48641,14.32,23.12,995.93,23.3,12.03.25 13-12-52,-0.03
48752,14.31,23.12,995.93,23.3,12.03.25 13-12-55,-0.02
48976,14.31,23.12,995.93,23.3,12.03.25 13-12-58,0.01
49174,14.3,23.12,995.93,23.3,12.03.25 13-13-01,0.0
49373,14.29,23.12,995.93,23.3,12.03.25 13-13-04,-0.02
49487,14.27,23.12,995.93,23.3,12.03.25 13-13-07,-0.01
49863,14.27,23.12,995.93,23.3,12.03.25 13-13-10,-0.01
49516,14.27,23.12,995.93,23.3,12.03.25 13-13-13,-0.01
49747,14.28,23.12,995.92,23.3,12.03.25 13-13-16,0.02
49718,14.27,23.12,995.92,23.3,12.03.25 13-13-19,-0.02
50245,14.26,23.12,995.93,23.3,12.03.25 13-13-22,-0.01
50572,14.24,23.12,995.93,23.3,12.03.25 13-13-25,-0.0
50127,14.25,23.12,995.92,23.3,12.03.25 13-13-28,0.02
50097,14.27,23.12,995.93,23.3,12.03.25 13-13-31,0.0
50363,14.29,23.12,995.93,23.3,12.03.25 13-13-34,-0.01
50215,14.32,23.06,995.93,23.3,12.03.25 13-13-37,-0.02
50662,14.33,23.12,995.93,23.3,12.03.25 13-13-40,-0.03
50602,14.32,23.12,995.93,23.3,12.03.25 13-13-43,0.01
50753,14.29,23.12,995.94,23.29,12.03.25 13-13-46,-0.03
50844,14.26,23.12,995.93,23.29,12.03.25 13-13-49,-0.01
51087,14.26,23.12,995.93,23.29,12.03.25 13-13-52,-0.03
51210,14.25,23.12,995.92,23.29,12.03.25 13-13-55,-0.01
51087,14.26,23.06,995.94,23.29,12.03.25 13-13-58,0.04
51148,14.25,23.12,995.93,23.29,12.03.25 13-14-01,0.01
51457,14.26,23.12,995.92,23.29,12.03.25 13-14-07,-0.0
50215,14.25,23.06,995.91,23.28,12.03.25 13-14-10,-0.0
50753,14.24,23.06,995.9,23.28,12.03.25 13-14-13,-0.01
51026,14.26,23.06,995.9,23.28,12.03.25 13-14-17,-0.01
50996,14.24,23.12,995.91,23.28,12.03.25 13-14-19,0.02
51738,14.24,23.12,995.91,23.28,12.03.25 13-14-22,-0.0
52308,14.24,23.12,995.91,23.28,12.03.25 13-14-25,0.01
52276,14.23,23.06,995.91,23.28,12.03.25 13-14-28,0.01
52958,14.23,23.06,995.9,23.28,12.03.25 13-14-31,-0.02
53056,14.23,23.06,995.91,23.28,12.03.25 13-14-34,0.02
52761,14.24,23.12,995.9,23.28,12.03.25 13-14-37,0.0
52991,14.25,23.06,995.9,23.28,12.03.25 13-14-40,-0.04
53156,14.25,23.06,995.9,23.28,12.03.25 13-14-43,-0.0
53522,14.26,23.12,995.9,23.28,12.03.25 13-14-46,-0.02
53725,14.28,23.12,995.9,23.28,12.03.25 13-14-49,0.03
53556,14.28,23.12,995.9,23.28,12.03.25 13-14-52,-0.03
53657,14.28,23.12,995.91,23.28,12.03.25 13-14-55,-0.02
54375,14.28,23.06,995.91,23.28,12.03.25 13-14-58,-0.01
53860,14.27,23.12,995.9,23.28,12.03.25 13-15-01,0.03
54099,14.28,23.12,995.9,23.28,12.03.25 13-15-04,0.0
53928,14.29,23.06,995.9,23.28,12.03.25 13-15-07,0.02
53997,14.29,23.12,995.9,23.28,12.03.25 13-15-10,-0.03
54340,14.32,23.06,995.9,23.27,12.03.25 13-15-13,-0.03
54099,14.32,23.06,995.91,23.27,12.03.25 13-15-16,0.02
54971,14.33,23.06,995.9,23.27,12.03.25 13-15-19,-0.02
54864,14.32,23.06,995.89,23.27,12.03.25 13-15-22,-0.0
54689,14.32,23.06,995.9,23.27,12.03.25 13-15-25,-0.02
55113,14.33,23.06,995.89,23.27,12.03.25 13-15-28,0.0
55652,14.34,23.06,995.88,23.26,12.03.25 13-15-31,0.0
55615,14.36,23.06,995.88,23.26,12.03.25 13-15-34,0.02
55543,14.35,23.06,995.88,23.26,12.03.25 13-15-37,-0.02
56499,14.35,23.12,995.87,23.26,12.03.25 13-15-40,0.02
56164,14.33,23.06,995.88,23.26,12.03.25 13-15-43,-0.02
56574,14.31,23.06,995.89,23.25,12.03.25 13-15-49,-0.02
54340,14.37,23.06,995.89,23.24,12.03.25 13-15-52,-0.04
54584,14.38,23.06,995.89,23.24,12.03.25 13-15-55,-0.01
55291,14.39,23.06,995.89,23.24,12.03.25 13-15-58,0.01
55870,14.37,23.06,995.88,23.24,12.03.25 13-16-01,0.01
