Batch,Tunge nr,Plassering,Kraft,Filnavn,Vekt [gr],Start time,End time,Tongue Temp (IR),Pipe temp sensor,Pipe temp IR,Frostskade,Avrivningsskade,Dårlig kvalitet,Kommentar,contact_time(s),total_force_app_time(s),num_force_applications,detach_force(g),plot_path
7,3,APEX,Rykk,12.03.25 17-37-39.csv,209,2025-03-12 17:37:00,2025-03-12 17:39:59,36.0,-6.0,-20.0,True,False,True,"Dårlig forsøk, la på tunge før sampling startet",4.700986,0.0,0,1158.97,./main/output/plots/12.03.25 17-37-39.png
7,3,BASIS,Motor,12.03.25 17-51-26.csv,209,2025-03-12 17:50:00,2025-03-12 17:51:59,34.0,-10.0,-20.0,True,False,False,,9.867213,0.0,0,867.06,./main/output/plots/12.03.25 17-51-26.png
7,4,BASIS,Motor,12.03.25 17-39-58.csv,213,2025-03-12 17:39:00,2025-03-12 17:41:59,35.0,-8.0,-39.0,True,True,False,"Liten avrivning, fint drag - slapp ikke lett",8.246213,0.0,0,513.17,./main/output/plots/12.03.25 17-39-58.png
7,4,APEX,Motor,12.03.25 17-53-54.csv,213,2025-03-12 17:53:00,2025-03-12 17:54:59,32.0,-14.0,-12.0,True,True,True,Dårlig og seig apex,6.275217,0.0,0,803.52,./main/output/plots/12.03.25 17-53-54.png
7,5,APEX,Rykk,12.03.25 17-42-27.csv,178,2025-03-12 17:40:00,2025-03-12 17:42:59,33.0,-8.0,-24.0,True,False,True,,3.207,0.0,0,266.3,./main/output/plots/12.03.25 17-42-27.png
7,5,BASIS,Motor,12.03.25 17-55-43.csv,178,2025-03-12 17:55:00,2025-03-12 17:56:59,33.0,-15.0,-4.0,True,False,False,,8.139214,0.0,0,619.12,./main/output/plots/12.03.25 17-55-43.png
7,6,BASIS,Motor,12.03.25 17-44-18.csv,203,2025-03-12 17:43:00,2025-03-12 17:44:59,35.0,-14.0,-25.0,True,False,False,Løsnet lett,5.551198,0.0,0,269.14,./main/output/plots/12.03.25 17-44-18.png
7,6,APEX,Rykk,12.03.25 17-57-08.csv,203,2025-03-12 17:57:00,2025-03-12 17:59:59,33.0,-15.0,-5.0,True,True,True,Hinne løsnet,8.047993,0.0,0,783.37,./main/output/plots/12.03.25 17-57-08.png
8,1,BASIS,Rykk,12.03.25 18-09-20.csv,251,2025-03-12 18:08:00,2025-03-12 18:09:59,33.0,,-26.0,True,False,False,,4.915007,0.0,0,562.34,./main/output/plots/12.03.25 18-09-20.png
8,1,APEX,Rykk,12.03.25 18-23-48.csv,251,2025-03-12 18:23:00,2025-03-12 18:24:59,34.0,-10.0,-25.0,True,False,True,kontaktareal på overgang hinne/muskel,2.707991,0.0,0,399.4,./main/output/plots/12.03.25 18-23-48.png
